trip_id,start_time,end_time,headway_secs
41TLV,5:06:00,22:02:00,420
3TLV,4:17:00,22:30:00,360
19TLV,4:42:00,22:15:00,480
14TLV,5:00:00,22:15:00,540
14RLV,5:00:00,22:15:00,540
23TLV,5:09:00,22:15:00,360
23RLV,5:00:00,22:20:00,360
18TLV,4:24:00,22:10:00,420
1TLV,5:11:00,22:12:00,420
21TLV,5:00:00,22:10:00,720
21RLV,5:00:00,22:20:00,720
16RLV,5:00:00,22:30:00,660
10TLV,5:05:00,22:07:00,600
10RLV,5:05:00,22:07:00,600
26TLV,4:50:00,22:30:00,600
4TLV,4:50:00,22:10:00,480
4RLV,5:00:00,22:20:00,480
42TLV,5:00:00,21:50:00,600
42RLV,5:25:00,22:00:00,600
6TLV,5:20:00,22:00:00,600
2RLV,5:00:00,22:20:00,720
27RLV,5:10:00,22:05:00,720
8TLV,5:05:00,22:12:00,600
8RLV,5:05:00,22:05:00,600
