stop_id,stop_name,stop_desc,stop_lat,stop_lon
1,Copou - sens Fundatie,,47.19053,27.55849
3,George Cosbuc - sens Fundatie,,47.18458,27.56391
4,Triumf - sens Fundatie,,47.18056,27.56736
5,Universitate - sens Fundatie,,47.17496,27.57204
6,Piata M. Eminescu - sens P. Unirii,,47.16888,27.57679
29,Piata Unirii - sens Tg. Cucu,,47.165517,27.580742
8,Filarmonica -  sens Tg. Cucu,,47.16414,27.58542
27,Targu Cucu - sens Tatarasi/Tudor,,47.1643,27.59083
420,Bucsinescu,,47.15896596,27.6001004
421,Tudor Vladimirescu,,47.15612967,27.60384679
201,C.E.T.,,47.14919438,27.60252726
189,Baza 3,,47.14715461,27.60856384
311,Piata Ing. Virgil Sahleanu,,47.14572951,27.61862476
192,C.F.S. II,,47.14794008,27.62023163
193,Pod Metalurgie,,47.1500854,27.62090155
194,Blocuri Metalurgie,,47.1529303,27.62208143
415,Tatarasi Sud,,47.15618676,27.62403712
81,Flora,,47.15865629,27.62066686
82,Dr. Savini,,47.15986589,27.61464086
417,Ateneu,,47.16233665,27.60602528
84,Padurii,,47.16315933,27.59774709
331,Targu Cucu,,47.16415371,27.59017371
28,Filarmonica - sens P.ta Unirii,,47.16410517,27.58569157
7,Piata Unirii -  sens Gara/Copou,,47.165551,27.580803
30,Piata M. Eminescu - sens Copou,,47.16865733,27.57686234
31,Universitate - sens Agronomie,,47.17539658,27.57179996
32,Triumf - sens Agronomie,,47.18083625,27.56729122
33,George Cosbuc - sens Agronomie,,47.1835,27.56494
34,Stadion - sens Agronomie,,47.1856602,27.56313702
35,Copou - sens Fundatie,,47.19073972,27.5590083
374,Dancu,,47.15161747,27.65953213
92,Blocuri Dancu,,47.15232904,27.65601951
91,Rond vechi Dancu,,47.15300937,27.64853734
77,Hotel Basarabia,,47.15265046,27.64285556
78,Phoenix,,47.15191646,27.63644072
79,I.P.A.,,47.15383213360778,27.632605433464054
85,Vointa,,47.16786484,27.57301583
86,Str. Bacinschi,,47.16825281,27.56849347
87,Gara,,47.16651954,27.5703055
11,Padurii -  sens Tatarasi,,47.16322,27.59683
12,Ateneu - sens Tatarasi,,47.16256058,27.60512212
13,Dr. Savini - sens Tatarasi Sud,,47.160084399347156,27.613422274589542
14,Flora - Sens Tatarasi Sud,,47.15924156,27.61879812
15,Tatarasi Sud - sens Metalurgie/Dancu,,47.15628843,27.6238705
88,I.P.A.,,47.15432460829934,27.63135552406311
89,Phoenix,,47.15236197830744,27.635523676872257
90,Hotel Basarabia,,47.15233764,27.64185524
76,Rond vechi Dancu,,47.15293514,27.64847761
75,Blocuri Dancu,,47.15238728,27.65500939
74,Dancu,,47.15158301,27.65922087
378,Dacia,,47.16833204,27.54141435
392,Columnei,,47.16667772,27.54415892
394,Bicaz,,47.16669152,27.55016366
396,Zimbru,,47.16672252,27.55635703
323,Familial,,47.16232167,27.56645931
401,Pasaj Alexandru cel Bun,,47.16038293,27.57312879
207,Gara,,47.16646227,27.57053554
214,Str. Bacinschi,,47.16810656,27.56839173
391,Targu Cucu,,47.164399273844445,27.591112732625337
400,Pasaj Alexandru cel Bun,,47.16004281730172,27.573071122169498
398,Minerva,,47.16347578153286,27.56433892223868
397,Zimbru,,47.16651099074442,27.55806469904201
395,Bicaz,,47.166828288341044,27.550969719886783
393,Columnei,,47.16676095,27.5451213
174,Dacia,,47.16816237503399,27.541579842109066
94,Canta,,47.17236427529721,27.537727117669423
95,Sergent Grigore Ioan,,47.17321321,27.54526171
96,Moara 1 Mai,,47.17347616,27.55007867
126,Octav Bancila,,47.17159846167471,27.560418605607996
310,Baza 3,,47.14661535,27.6099696
204,C.E.T.,,47.14959377,27.60272244
64,Bucsinescu,,47.1589884,27.60007861
97,Octav Bancila,,47.17100403682222,27.561549425190613
399,Moara 1 Mai,,47.17354433608095,27.551840901505788
128,Sergent Grigore Ioan,,47.17330584612167,27.544628977775577
129,Canta,,47.17238761418337,27.537447094982785
2,Stadion,,47.18646,27.56235
