trip_id,start_time,end_time,headway_secs
41TLV,5:06:00,22:02:00,420
41TSD,5:06:00,22:02:00,660
3TLV,4:17:00,22:30:00,360
3TSD,4:17:00,22:30:00,660
19TLV,4:42:00,22:15:00,480
19TSD,4:42:00,22:15:00,660
14TLV,5:00:00,22:15:00,540
14TSD,5:00:00,22:15:00,840
14RLV,5:00:00,22:15:00,540
14RSD,5:00:00,22:15:00,840
23TLV,5:09:00,22:15:00,360
23TSD,5:09:00,22:15:00,480
23RLV,5:00:00,22:20:00,360
23RSD,5:00:00,22:20:00,480
18TLV,4:24:00,22:10:00,420
18TSD,4:24:00,22:10:00,600
1TLV,5:11:00,22:12:00,420
1TSD,5:11:00,22:12:00,660
21TLV,5:00:00,22:10:00,720
21TSD,5:00:00,22:10:00,1080
21RLV,5:00:00,22:20:00,720
21RSD,5:00:00,22:20:00,1080
16RLV,5:00:00,22:30:00,660
16RSD,5:00:00,22:30:00,1140
10TLV,5:05:00,22:07:00,600
10TSD,5:05:00,22:07:00,840
10RLV,5:05:00,22:07:00,600
10RSD,5:05:00,22:07:00,840
26TLV,4:50:00,22:30:00,600
26TSD,4:50:00,22:30:00,900
4TLV,4:50:00,22:10:00,480
4RLV,5:00:00,22:20:00,480
42TLV,5:00:00,21:50:00,600
42TSD,5:00:00,21:50:00,840
42RLV,5:25:00,22:00:00,600
42RSD,5:25:00,22:00:00,840
6TLV,5:20:00,22:00:00,600
6TSD,5:20:00,22:00:00,1200
2RLV,5:00:00,22:20:00,720
2RSD,5:00:00,22:20:00,840
27RLV,5:10:00,22:05:00,720
8TLV,5:05:00,22:12:00,600
8TSD,5:05:00,22:12:00,1200
8RLV,5:05:00,22:05:00,600
8RSD,5:05:00,22:05:00,1200
